day,volume
2021-06-23T00:00:00+00:00,47828460.05867723368645724759
2021-02-27T00:00:00+00:00,3802226.49569640833009441306
2021-04-30T00:00:00+00:00,11115345.08276385471587628923
2021-05-01T00:00:00+00:00,12099186.96239596844818404277
2021-04-19T00:00:00+00:00,8495310.50384096146564482111
2021-04-06T00:00:00+00:00,2249677.99871318256079902020
2021-01-18T00:00:00+00:00,12299254.09304982878276145759
2021-05-28T00:00:00+00:00,19367689.004121449176003807570000
2021-06-16T00:00:00+00:00,17801256.07698158437809682215
2021-05-14T00:00:00+00:00,85252511.42956349352044300012
2021-02-13T00:00:00+00:00,16796631.12464008753481396554
2021-02-25T00:00:00+00:00,20161000.24872897902300328253
2021-05-15T00:00:00+00:00,14427920.40031901795015561400
2021-05-05T00:00:00+00:00,17035668.59113071903749605195
2021-03-11T00:00:00+00:00,14929296.66206595269345480977
2021-04-21T00:00:00+00:00,9080344.55556741359443305539
2021-02-12T00:00:00+00:00,14648490.55687680150207243225
2021-01-26T00:00:00+00:00,46195835.09529798248954936365
2021-01-31T00:00:00+00:00,19312147.79537561407471658519
2021-05-23T00:00:00+00:00,198992686.29377064619367592232
2021-02-19T00:00:00+00:00,15142029.40556562468655643807
2021-06-04T00:00:00+00:00,22128200.39433282568418211865
2021-01-16T00:00:00+00:00,28156922.969731765602435786935746
2021-03-31T00:00:00+00:00,21964498.599147670852597115783800680000000000
2021-03-24T00:00:00+00:00,18636038.78013343367473625549
2021-02-04T00:00:00+00:00,16922438.37591847085830539764928892000000
2021-03-08T00:00:00+00:00,7987673.52980988734376277697
2021-01-24T00:00:00+00:00,52551975.33248133985717391304
2021-01-21T00:00:00+00:00,62151339.73829821700149293035
2021-06-19T00:00:00+00:00,621788.87800853580588511730
2021-03-20T00:00:00+00:00,8006098.63178889529392000367
2021-04-15T00:00:00+00:00,7861360.19627391779000447098
2021-04-10T00:00:00+00:00,15805277.20547002636684853763
2021-02-28T00:00:00+00:00,34952831.12398693616286015815
2021-02-03T00:00:00+00:00,68059221.819304085583467669950015100000000000
2021-02-11T00:00:00+00:00,26092155.37124251837714783906
2021-07-06T00:00:00+00:00,20825287.97482235443863632713
2021-06-09T00:00:00+00:00,20783128.05227742987118760075
2021-07-09T00:00:00+00:00,75855797.501337226625476827112774
2021-05-30T00:00:00+00:00,11383355.38020821737197683571
2021-06-01T00:00:00+00:00,22064479.26032351296737796824
2021-03-22T00:00:00+00:00,4055366.96838999669282521686
2021-06-20T00:00:00+00:00,20771129.45667910775976519753
2021-05-31T00:00:00+00:00,6400559.03901711071946836279
2021-05-26T00:00:00+00:00,39894701.467556169925449238835000
2021-03-14T00:00:00+00:00,3620723.82183587328405765903
2021-06-24T00:00:00+00:00,21931719.99807847177760925836
2021-06-28T00:00:00+00:00,37552355.96718171702979770113
2021-06-13T00:00:00+00:00,11707808.65886230277742940668
2021-04-01T00:00:00+00:00,10655515.05678030442872291352
2021-06-22T00:00:00+00:00,83344650.41356185655247274134
2021-05-12T00:00:00+00:00,31606076.83949337407447641551
2021-04-25T00:00:00+00:00,9495494.26152352007858420837
2021-01-17T00:00:00+00:00,13173032.54190479165185143492
2021-06-06T00:00:00+00:00,22885873.72978245858623084311
2021-03-29T00:00:00+00:00,8650997.76211279330324983681
2021-02-06T00:00:00+00:00,17075871.54093129485605654307
2021-03-30T00:00:00+00:00,10883956.15675585808966757834
2021-05-07T00:00:00+00:00,12857304.63803878862862804987
2021-01-14T00:00:00+00:00,61641285.93154035133057554080
2021-07-12T00:00:00+00:00,12820908.65018421053706991590
2021-05-06T00:00:00+00:00,20025765.59293599927621152697
2021-05-11T00:00:00+00:00,45827506.8429773031888710
2021-06-02T00:00:00+00:00,61431193.09618970560308411015
2021-07-11T00:00:00+00:00,80268994.68546678074275638742
2021-01-19T00:00:00+00:00,18782714.32906634990137732300
2021-06-08T00:00:00+00:00,87059744.33252942070269473130
2021-03-18T00:00:00+00:00,10800346.80727995351468697566
2021-02-23T00:00:00+00:00,55335708.45131572889611143455
2021-07-08T00:00:00+00:00,36678162.89266900257906635284
2021-05-21T00:00:00+00:00,66307755.961326768592041793190000
2021-05-27T00:00:00+00:00,6997495.60727711408622934320
2021-03-01T00:00:00+00:00,26997008.38074956500690453022
2021-03-03T00:00:00+00:00,16311287.40033656174237885560
